Actor,Film,Year,Genre,BoxOffice(INR Crore),IMDb
Aamir Khan,Dangal,2016,Biography,2024,8.4
Salman Khan,Tiger Zinda Hai,2017,Action,565,6.0
Varun Dhawan,Badrinath Ki Dulhania,2017,Romantic Comedy,201,6.1
Ranveer Singh,Padmaavat,2018,Historical,585,7.0
Ayushmann Khurrana,Andhadhun,2018,Thriller,118,8.3
Rajkummar Rao,Stree,2018,Horror Comedy,180,7.5
Hrithik Roshan,War,2019,Action,475,6.5
Akshay Kumar,Good Newwz,2019,Comedy,318,7.0
Vicky Kaushal,Uri: The Surgical Strike,2019,Action,342,8.2
Ranbir Kapoor,Brahmastra,2022,Fantasy,431,5.6
Kartik Aaryan,Bhool Bhulaiyaa 2,2022,Horror Comedy,266,6.4
Shah Rukh Khan,Pathaan,2023,Action,1050,7.2
