camara,age,cpu_score,ram,slot_sd,prize
72,43,114,8,2,11879
62,32,119,16,2,11462
94,47,117,4,1,19277
46,43,117,8,1,14692
69,37,118,32,1,12203
40,45,109,32,2,17108
70,51,115,32,2,15375
74,52,112,8,1,16241
75,21,114,32,2,19698
100,24,118,8,2,14719
74,19,116,32,2,19880
82,51,114,4,1,15765
49,35,112,16,1,16601
94,58,119,8,2,17805
94,47,118,32,1,11404
54,48,114,16,1,10594
81,41,112,32,2,14085
105,52,112,8,1,17486
48,49,112,4,1,12083
87,41,114,4,2,13730
76,44,110,16,1,13120
71,18,108,8,2,16245
48,58,110,8,1,17727
38,51,115,4,1,12010
33,25,112,16,1,14603
101,25,116,32,2,16411
41,53,114,4,1,11047
103,57,111,8,2,18882
64,34,116,8,1,18816
83,49,117,16,2,10081
73,56,113,4,1,13877
79,49,112,16,2,12465
86,36,113,32,2,19959
49,40,118,32,2,11170
43,26,108,32,1,15371
72,28,116,16,1,14888
34,51,117,32,1,16984
71,46,116,8,2,16472
45,55,117,16,2,13500
45,52,110,16,2,18029
58,44,111,8,1,15197
60,28,117,16,2,19220
91,42,111,32,1,13549
57,28,114,16,2,11670
70,26,116,4,1,12066
107,44,111,4,2,16068
64,26,110,16,1,15035
34,22,117,8,2,18013
91,43,109,16,2,13888
75,58,116,32,2,15654
56,48,108,4,1,14206
73,21,110,4,1,18131
56,22,114,8,2,16848
65,57,112,16,1,11616
52,39,112,8,1,19176
88,34,111,16,2,13690
63,36,114,8,2,15355
88,38,111,8,1,19316
64,49,119,32,2,11094
33,42,108,16,2,10975
80,36,115,32,1,15093
89,46,110,16,2,18566
83,33,118,8,2,14353
52,51,112,32,1,12216
102,24,115,32,1,15364
93,46,113,4,1,19517
89,59,108,8,2,11164
99,37,110,4,2,14303
45,33,117,8,2,15050
86,31,119,16,1,13923
56,37,115,16,2,11543
44,28,117,8,2,16841
59,55,114,16,1,15339
76,24,110,4,2,12523
55,55,119,32,1,10861
57,40,119,32,1,19724
65,30,110,8,2,19229
55,54,112,8,1,14164
67,54,115,16,1,12923
63,40,114,32,1,13062
35,40,113,8,1,11986
42,35,115,16,2,18753
84,23,111,8,1,12700
58,34,108,32,1,17607
76,59,118,4,1,18588
70,48,116,4,2,16261
97,49,109,32,1,10012
88,33,118,8,2,12667
53,18,109,4,2,11096
80,18,115,4,2,15563
70,21,113,16,1,16212
87,27,116,4,1,15083
79,46,112,32,2,16899
73,39,110,16,2,14426
74,21,108,32,1,11434
70,33,108,16,1,17278
83,25,113,32,1,14927
33,38,117,4,2,13944
65,53,113,8,1,19403
75,55,118,32,1,19846
